,Name,Position,Number,Height,Academic Year,Hometown,Highschool,Weight,Year,Team
0,Paul Grandstrand,GK,1,6' 3'',Sr.,"Orono, MN",Breck School,195 lbs,2010,mens soccer
1,Brice Gumpel,M/D,2,5' 11'',Jr.,"La Canada, CA",Flintridge Prep,175 lbs,2010,mens soccer
2,Ian Smith,D,3,6' 2'',Sr.,"Arlington, TX",J.S. Martin,175 lbs,2010,mens soccer
3,Aidan Leonard,D,4,6' 0'',Fr.,"Camarillo, CA",Oaks Christian School,175 lbs,2010,mens soccer
4,Ryan McDuff,D,5,6' 2'',So.,"Plano, TX",Plano Senior ,185 lbs,2010,mens soccer
5,Dylan Remick,D,6,6' 1'',So.,"Inverness, IL",Loyola Academy,160 lbs,2010,mens soccer
6,Thomas McNamara,M,7,5' 9'',So.,"West Nyack, NY",Don Bosco Preparatory ,155 lbs,2010,mens soccer
7,Bobby Belair,M,8,6' 2'',So.,"Myrtle Beach, SC",Socastee,175 lbs,2010,mens soccer
8,Austin Mandel,F,9,5' 5'',Jr.,"Tarzana, CA",Montclair Prep,145 lbs,2010,mens soccer
9,Sean Rosa,F,10,5' 8'',Jr.,"Montreal, Quebec",Vincent Massey Collegiate,155 lbs,2010,mens soccer
10,David Walls,D,11,6' 0'',Sr.,"Leeds, England",Woodkirk,185 lbs,2010,mens soccer
11,Kevin  Gavey,M/D,12,5' 11'',So.,"Fairfield, CT",Fairfield Warde,165 lbs,2010,mens soccer
12,Rob Medairos,M,14,5' 9'',Jr.,"Stafford, VA",Mountain View,150 lbs,2010,mens soccer
13,Taylor Gorman,M,15,6' 1'',Jr.,"Freeport, ME",North Yarmouth Academy,180 lbs,2010,mens soccer
14,Eric Robertson ,D,16,6' 3'',So.,"San Antonio, TX",Churchill High,180 lbs,2010,mens soccer
15,Jon Okafor,M,17,6' 1'',Sr.,"Verona, NJ",Seton Hall Prepatory,172 lbs,2010,mens soccer
16,Sean McGrath,D,19,5' 9'',Sr.,"Indian Orchard, MA",Wilbraham &amp; Munson,160 lbs,2010,mens soccer
17,Jay Hayward,M,20,5' 11'',Jr.,"Acton, MA",Acton-Boxborough Regional,160 lbs,2010,mens soccer
18,Jack Kuntz,M,21,6' 0'',Fr.,"Chatham, NJ",Chatham,165 lbs,2010,mens soccer
19,Voltaire Escalona,F,22,6' 0'',Fr.,"Blue Bell, PA",Germantown Academy,180 lbs,2010,mens soccer
20,Jose Salama,F,23,6' 1'',Fr.,"Madrid, Spai",St. Anne's School,160 lbs,2010,mens soccer
21,Mike Manella,M,24,5' 8'',Jr.,"Toluca Lake, CA",The Buckley School,150 lbs,2010,mens soccer
22,Evan Coleman,M/D,25,6' 1'',Jr.,"Amherst, MA",Amherst Regional,185 lbs,2010,mens soccer
23,Sam Kernan-Schloss,GK,26,6' 0'',So.,"Arlington, VA",Sidwell Friends,165 lbs,2010,mens soccer
24,Josh Weiner,GK,27,6' 2'',Fr.,"Armonk, NY",Byram Hills,185 lbs,2010,mens soccer
25,T.J. Popolizio,F,30,5' 7'',Jr.,"Rexford, NY",Shenendehowa,140 lbs,2010,mens soccer
0,Josh Weiner,GK,1,6' 2'',So.,"Armonk, NY",Byram Hills,185 lbs,2011,mens soccer
1,Alex Markes,D,3,6' 0'',Fr.,"Valencia, CA",Harvard-Westlake,175 lbs,2011,mens soccer
2,Aidan Leonard,D,4,6' 0'',So.,"Camarillo, CA",Oaks Christian School,175 lbs,2011,mens soccer
3,Ryan McDuff,D,5,6' 2'',Jr.,"Plano, TX",Plano Senior ,185 lbs,2011,mens soccer
4,Dylan Remick,D,6,6' 1'',Jr.,"Inverness, IL",Loyola Academy,160 lbs,2011,mens soccer
5,Thomas McNamara,M,7,5' 9'',Jr.,"West Nyack, NY",Don Bosco Preparatory ,155 lbs,2011,mens soccer
